key	ko-KR	zh-CN	en-US	ja-JP	zh-TW
// Program					
PROGRAM_TITLE	소녀전선 알리미	少女前线通知器	Girls Frontline Alarm	ドルフロアラーム	少女前線通知器
PROGRAM_TITLE_SHORT	소녀전선 알리미	少女前线通知器	GFAlarm	ドルフロアラーム	少女前線通知器
TRANSLATED_BY		CN translated by 'Jenitak'[br]Voice translated by 'Jenitak'	EN translated by 'Seyren'[br]Voice translated by 'Seyren'[br]Node image made by 'Minh Thao'	JP translated by 'リリア',[a href='https://twitter.com/gyohza_ju_ju_']'Leak'[/a][br]Voice translated by 'FlamBerry'	zh-TW translated by IONA#0416、天空#5389、Mei#5580
PROGRAM_DESCRIPTION	소녀전선 알리미 프로그램은 모바일 게임 [font color='#ffb400']소녀전선[/font]의 패킷과 게임 데이터를 기반으로 동작됩니다.	少女前线通知器以[font color='#ffb400']少女前线[/font]的包和游戏数据为基础运行。	Girls Frontline Alarm runs based on packets and game data from the mobile game [font color='#ffb400']Girls' Frontline[/font].	ドルフロアラームは[font color='#ffb400']ドールズフロントライン[/font]のゲームデータ及び通信データを用いています。	少女前線通知器以[font color='#ffb400']少女前線[/font]的封包和遊戲數據為基礎運行。
PROGRAM_COPYRIGHT	모든 저작권과 권리는 [a href='https://gf-cn.sunborngame.com']SUNBORN Network Technology(MICATEAM)[/a]에 귀속되어 있습니다.	所有版权和权利归[a href='https://gf-cn.sunborngame.com']SUNBORN Network Technology(MICATEAM)[/a]。	All rights reserved to [a href='https://gf-cn.sunborngame.com']SUNBORN Network Technology(MICATEAM)[/a].	Copyright [a href='https://gf-cn.sunborngame.com']SUNBORN Network Technology(MICATEAM)[/a] All rights reserved .	所有版權和權利歸[a href='https://gf-cn.sunborngame.com']SUNBORN Network Technology(MICATEAM)[/a]。
PROGRAM_BUG_REPORT	버그 발견 시, 제작자 email 또는 [a href='{0}']최신버전 글[/a]로 리포트 바랍니다.	若发现缺陷时,请报告到制作者的电子邮件或[a href='{0}']最新版的网页[/a]。	If you find a bug, please report to the developer's email or leave a comment on the [a href='{0}']latest version post[/a].	バグを発見した場合、製作者のメールアドレスか[a href='{0}']最新バージョンの投稿[/a]へ報告してください。	若發現缺陷時,請報告到製作者的電子郵件或[a href='{0}']最新版的網頁[/a]。
OPEN_FOLDER	폴더 열기	打开文件夹	Open Folder	フォルダーを開く	開啟文件夾
ALWAYS_ON_TOP	항상 위	一直在前端	Always on Top	常に最前面に表示	視窗置頂
MINI_WINDOW	미니바	Mini Bar	Mini Bar	ミニバー	小工具
STICK_TO_LEFT	좌측 붙이기	靠左	Stick to Left	左側に寄せる	靠左
STICK_TO_RIGHT	우측 붙이기	靠右	Stick to Right	右側に寄せる	靠右
WINDOW_MINIMIZE	최소화	关闭	Minimize	最小化	關閉
WINDOW_CLOSE	종료	退出	Close	終了	退出
TRAY_CLOSE	종료	退出	Close	終了	退出
TRAY_RESET_POSITION	위치 리셋	重定位	Position Reset	リセット	重新定位
VERSION_CHECK_TITLE	버전 확인	版本更新	Version Check	バージョン確認	版本更新
VERSION_CHECK_CONTENT	최신버전 {0}가 존재합니다. 다운로드 링크로 이동합니까?	发现新版本 {0}. 打开下载网页吗?	A new version {0} is available. Would you like to open download link?	最新バージョン 「{0}」が存在します。ダウンロードリンクへ移動しますか？	發現新版本 {0}. 是否前往下載?
PROGRAM_RESTART_TITLE	업데이트	Update	Update	アップデート	更新
PROGRAM_RESTART_CONTENT	프로그램 재시작이 필요합니다. 종료합니까?	Application Restart is Required.	The application needs to restart. Would you like to restart the app now?	再起動が必要です	需要重新啟動應用程序
PROGRAM_UPDATE_TITLE	업데이트	Update	Update	アップデート	更新
PROGRAM_UPDATE_CONTENT	업데이트가 존재합니다. 업데이트를 실행합니까?	Application Update is Required.	A new update is available. Would you like to update?	再起動が必要です	需要更新應用程序
MESSAGE_NOW_TRAY_CONTENT	트레이에서 실행 중	트레이에서 실행 중	The application is running in tray menu.	タスクトレイで実行中	再通知區域執行
MESSAGE_UPDATER_DOWNLOADED	업데이터가 업데이트되었습니다	GFAlarmUpdater has been updated	GFAlarmUpdater has been updated	ドルフロアラームのアップデータが更新されました	GFAlarm已更新完畢
// Common					
TIME	시간	时间	Time	時間	時間
REQUIRE_TIME	소요 시간	所需时间	Require Time	残り時間	所需時間
END_TIME	완료 시간	完成时间	Complete Time	完了時間	完成時間
RESOURCE	자원	资源	Resource	資源	資源
MANPOWER	인력	人力	Manpower	人力	人力
AMMO	탄약	弹药	Ammunition	弾薬	彈藥
MRE	식량	粮食	Ration	配給	口糧
PART	부품	零件	Parts	部品	零件
ECHELON	제대	梯队	Echelon	部隊	梯隊
SANGVIS_ECHELON	혼합세력	融合势力	Coalition	融合勢力	融合勢力
ALLY_ECHELON	아군	Ally	Ally	友軍部隊	支援部隊
FRIEND_ECHELON	친구	Friend	Friend	戦友部隊	友軍梯隊
HOSTAGE_ECHELON	구조대기	等待救援	Awaiting rescue	救援待ち	等待救援
RESCUED_HOSTAGE_ECHELON	인질보호	携带人质	Carrying hostage	人質保護中	攜帶人質
ECHELON_POLICY_ELIMINATE	섬멸	消灭	Eliminate	撃破	消滅
ECHELON_POLICY_WAIT	대기	待机	Wait	待機	待機
ECHELON_POLICY_CAPTURE	진격	攻占	Capture	攻略	攻佔
